root_cnpj,cnpj_est,name,date_start,situation,situationDate,state,porte,activity
03696115,03696115000150,M DE G LIMA,2000-03-14,Nula,2000-03-14,MA,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03696414,03696414000195,JAIR DE JESUS,2000-03-15,Nula,2000-03-15,MG,DEMAIS,Comércio varejista de jornais e revistas
03696443,03696443000157,BAR E RESTAURANTE DO PASCHOAL LTDA,2000-03-14,Nula,2000-03-14,MG,DEMAIS,Comércio varejista de bebidas
03698176,03698176000157,ARGEMIRA FELIX DA SILVA MERCEARIA,2000-03-13,Nula,2000-03-13,PE,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03698530,03698530000143,DROGA MERK LTDA,2000-03-15,Nula,2000-03-15,GO,MICRO EMPRESA,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas"
03699169,03699169000170,J. C. DE MORAIS,2000-03-14,Nula,2000-03-14,MA,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03699273,03699273000164,MARCELO HENRIQUE GONCALVES,2000-02-24,Nula,2000-02-24,MG,DEMAIS,Comércio varejista de jornais e revistas
03699860,03699860000153,ENI CLEMENTE DA COSTA,2000-03-17,Nula,2000-03-17,MG,DEMAIS,Comércio varejista de jornais e revistas
03700545,03700545000107,RESIDENCIAL CORINTO -EDIFICIO IOTA - BLOCO 09,2000-03-18,Nula,2000-03-18,MG,DEMAIS,Condomínios prediais
03701773,03701773000193,CAIXA ESCOLAR DONATO WERNECK DE FREITAS,2000-03-20,Nula,2000-03-20,MG,DEMAIS,Atividades de associações de defesa de direitos sociais
03704071,03704071000163,ASSOCIACAO DOS PEQUENOS AGROPECUARISTAS DO SITIO ALEGRE,2000-03-02,Nula,2000-03-02,PE,DEMAIS,Atividades de organizações associativas patronais e empresariais
03704349,03704349000100,CONFEDERACAO BRASILEIRA DE HANDEBOL,2000-02-15,Nula,2000-02-15,SE,DEMAIS,Outras atividades esportivas não especificadas anteriormente
03704594,03704594000100,PROTE'LUVAS EQUIPAMENTOS LTDA,2000-02-15,Nula,2000-02-15,BA,MICRO EMPRESA,Fabricação de equipamentos e acessórios para segurança pessoal e profissional
03704730,03704730000161,PLAY CLUB - CENTROS DE ATIVIDADE INFANTIL LTDA,2000-02-07,Nula,2000-02-07,MG,DEMAIS,Parques de diversão e parques temáticos
03705124,03705124000160,C.G. COMERCIO DE PNEUS LTDA,2000-03-14,Nula,2000-03-14,SC,DEMAIS,Comércio a varejo de pneumáticos e câmaras-de-ar
03708033,03708033000189,ALCEU MALFATTI,2000-03-16,Nula,2000-03-16,RS,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03708457,03708457000143,ARMENIO BARBOSA LOIOLA,2000-03-22,Nula,2000-03-22,MG,MICRO EMPRESA,Comércio varejista de jornais e revistas
03708982,03708982000169,JOSE PEREIRA DE ABREU,2000-03-17,Nula,2000-03-17,MG,DEMAIS,Comércio varejista de jornais e revistas
03709009,03709009000164,SEBASTIAO CELIO LOPES,2000-03-17,Nula,2000-03-17,MG,DEMAIS,Comércio varejista de jornais e revistas
03709022,03709022000113,"W & T COMERCIO, REPRESENTACOES, IMPORTACAO E EXPORTACAO LTDA",2000-02-04,Nula,2000-02-04,MG,DEMAIS,Comércio varejista de outros produtos não especificados anteriormente
03710114,03710114000113,JINA-JIPUR LTDA.,2000-03-16,Nula,2000-03-16,SP,DEMAIS,Incorporação de empreendimentos imobiliários
03710709,03710709000179,LUCIANA MOREIRA M. DA COSTA - MEDICA,2000-03-16,Nula,2000-03-16,RJ,DEMAIS,Atividades de profissionais da área de saúde não especificadas anteriormente
03711086,03711086000159,"PARAISO MOTORES, AUTO MECANICA E INJECAO ETRONICA LTDA",2000-03-23,Nula,2000-03-23,TO,DEMAIS,Serviços de manutenção e reparação mecânica de veículos automotores
03713842,03713842000189,DIRETORIO MUNICIPAL DO PFL DE SANTA BARBARA DO TUGURIO,2000-03-01,Nula,2000-03-01,MG,DEMAIS,Atividades de organizações políticas
03716327,03716327000152,ROSANA DIAS HERTEL,2000-03-24,Nula,2000-03-24,TO,DEMAIS,Fabricação de móveis com predominância de madeira
03716329,03716329000141,M. ZANIRATI RAMOS,2000-03-27,Nula,2000-03-27,RJ,DEMAIS,Comércio varejista especializado de equipamentos e suprimentos de informática
03717518,03717518000139,CONDOMINIO EDIFICIO 6 ESTRELAS,1981-04-29,Nula,1981-04-29,SP,DEMAIS,Condomínios prediais
03718150,03718150000123,JB PRESTAO DE SERVICOS LTDA,2000-03-24,Nula,2000-03-24,AM,DEMAIS,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente
03720217,03720217000164,GRAFICO PRESTADORA DE SERVICOS LTDA,2000-03-24,Nula,2000-03-24,MT,DEMAIS,Serviços de pré-impressão
03720704,03720704000127,ANA LUCIA RODRIGUES DA SILVA,2000-03-28,Nula,2000-03-28,CE,DEMAIS,Comercio varejista de artigos de armarinho
03720706,03720706000116,NEZIANE FERREIRA MENDONCA,2000-03-27,Nula,2000-03-27,AM,DEMAIS,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários"
03721849,03721849000142,CONDOMINIO EDIFICIO ASTORIA,1990-03-05,Nula,1990-03-05,SP,DEMAIS,Condomínios prediais
03723562,03723562000151,PATRICIA NIGRO,2000-03-17,Nula,2000-03-17,MT,DEMAIS,"Comércio varejista de doces, balas, bombons e semelhantes"
03723740,03723740000144,IZAURA DIAS COSTA PRAIA GRANDE,2000-03-02,Nula,2000-03-02,SP,DEMAIS,Comércio a varejo de peças e acessórios novos para veículos automotores
03724477,03724477000108,CICERO DOS SANTOS AGUA MINERAIS,2000-03-28,Nula,2000-03-28,PE,DEMAIS,Comércio atacadista de água mineral
03724812,03724812000178,NUCLEO CRIADORES CAVALO MANGALARGA MACHADOR DO EST GO.,1987-05-28,Nula,1987-05-28,GO,DEMAIS,Instituições de longa permanência para idosos
03725025,03725025000140,GOIANIA-GOV SECRETARIA DE ASSUNTOS COMUNITARIOS,1987-06-04,Nula,1987-06-04,GO,DEMAIS,Administração pública em geral
03727422,03727422000151,CARLOS HENRIQUE PEREIRA-MOTOS,2000-03-27,Nula,2000-03-27,SP,DEMAIS,Comércio a varejo de motocicletas e motonetas novas
03728336,03728336000163,TRANSMADEIRAS LTDA,2000-03-29,Nula,2000-03-29,PA,DEMAIS,Comércio atacadista de madeira e produtos derivados
03728523,03728523000147,INFOJUS EDITORA LTDA,2000-03-14,Nula,2000-03-14,RJ,DEMAIS,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente
03729703,03729703000143,E.J.NASCIMENTO,2000-04-04,Nula,2000-04-04,PI,DEMAIS,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários"
03729945,03729945000137,SEBASTIAO DIAS & FERREIRA LTDA,2000-03-29,Nula,2000-03-29,PA,DEMAIS,Comércio atacadista de madeira e produtos derivados
03732092,03732092000192,MAGNO CESAR ALBA DA SILVA,2000-02-16,Nula,2000-02-16,RS,DEMAIS,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários"
03734937,03734937000189,ASSOCIACAO COMUNITARIA DOS TRABALHADORES DE CANTO ALEGRE,1999-12-09,Nula,1999-12-09,MA,DEMAIS,Atividades de associações de defesa de direitos sociais
03737726,03737726000108,PEDRO DA SILVA MARINS,2000-03-13,Nula,2000-03-13,MG,DEMAIS,Comércio varejista de artigos médicos e ortopédicos
03739262,03739262000160,ODENILTON/PALMAS,2000-04-06,Nula,2000-04-06,DF,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03741604,03741604000187,G S BARBOSA,2000-04-03,Nula,2000-04-03,MT,DEMAIS,Comércio varejista de artigos de papelaria
03742184,03742184000153,ISOMAX ISOLAMENTOS TERMICOS LTDA,2000-04-05,Nula,2000-04-05,SP,MICRO EMPRESA,"Tratamentos térmicos, acústicos ou de vibração"
03742380,03742380000128,CONDOMINIO DO EDIFICIO CASALETO,2000-03-21,Nula,2000-03-21,MG,DEMAIS,Condomínios prediais
03742655,03742655000123,FENIX ASSESSORIA EMPRESARIAL E COMERCIAL LTDA.,1999-02-17,Nula,1999-02-17,SP,DEMAIS,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica"
03743534,03743534000104,P.H. MATERIAIS DE CONSTRICAO LTDA,2000-04-10,Nula,2000-04-10,MG,DEMAIS,Comércio varejista de materiais de construção não especificados anteriormente
03743813,03743813000160,SERVICO NACIONAL DE APRENDIZAGEM NACIONAL,2000-04-10,Nula,2000-04-10,GO,DEMAIS,Treinamento em desenvolvimento profissional e gerencial
03744611,03744611000132,GRUPO DOS PEQUENOS PRODUTORES AGRICOLAS DO CANTA GALO,2000-04-11,Nula,2000-04-11,MA,DEMAIS,Atividades de associações de defesa de direitos sociais
03745178,03745178000150,CONGRECAO CRISTA NO BRASIL,2000-03-25,Nula,2000-03-25,AL,DEMAIS,Atividades de organizações religiosas ou filosóficas
03747345,03747345000100,PARTIDO DEMOCRTICO TRABALHISTA,2000-03-28,Nula,2000-03-28,RS,DEMAIS,Atividades de organizações políticas
03747719,03747719000189,TRANSPORTES E MADEIRAS VERA CRUZ LTDA,2000-04-12,Nula,2000-04-12,PA,DEMAIS,Comércio atacadista de madeira e produtos derivados
03749128,03749128000140,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL DE QUIRINOPOLIS,2000-04-12,Nula,2000-04-12,GO,DEMAIS,Treinamento em desenvolvimento profissional e gerencial
03749483,03749483000110,COMERCIAL DE REFRIGERACAO BRASIL LESTE LTDA,2000-04-04,Nula,2000-04-04,SP,MICRO EMPRESA,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças
03749977,03749977000102,ASSOCIACAO DOS SERINGUEIROS E AGRO-EXTRATIVISTA DO BAIXO RIO OURO PRETO - A.S.A.E.X.,2000-03-20,Nula,2000-03-20,RO,DEMAIS,Atividades de associações de defesa de direitos sociais
03751183,03751183000175,VALDENICE BESERRA ANDRADE CONFECCOES,2000-03-20,Nula,2000-03-20,SP,MICRO EMPRESA,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida"
03751766,03751766000104,ALPHALUZ SERVICE LTDA,1999-12-21,Nula,1999-12-21,SP,DEMAIS,Outras obras de acabamento da construção
03754541,03754541000101,CARLA ANGELITA DE LARA PIRES SCHEREMETTA.,2000-04-13,Nula,2000-04-13,PR,DEMAIS,Comércio varejista de artigos do vestuário e acessórios
03755214,03755214000166,FORT COMEX IMPORTACAO E EXPORTACAO LTDA,2000-04-17,Nula,2000-04-17,SP,DEMAIS,"Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem"
03755465,03755465000140,JOAO BALBINO DE ANDRADE,2000-04-13,Nula,2000-04-13,MG,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03755773,03755773000176,MARLY ROELLAS TOSTES,2000-04-14,Nula,2000-04-14,MG,DEMAIS,Restaurantes e similares
03756159,03756159000129,MADEIREIRA RIO DOCE LTDA,2000-04-05,Nula,2000-04-05,PA,DEMAIS,Serrarias com desdobramento de madeira em bruto
03756162,03756162000142,NOVO HORIZONTE DO NORTE MADEIRAS LTDA,2000-04-05,Nula,2000-04-05,PA,DEMAIS,Comércio atacadista de madeira e produtos derivados
03756163,03756163000197,SANTA MARIA MADEIREIRA E TRANSPORTES LTDA,2000-04-05,Nula,2000-04-05,PA,DEMAIS,Serrarias com desdobramento de madeira em bruto
03756164,03756164000131,LAMINADORA TRAIRAO LTDA,2000-04-14,Nula,2000-04-14,PA,DEMAIS,Comércio atacadista de madeira e produtos derivados
03756296,03756296000163,JOINVILLE TERCEIRO TABELIONATO DE NOTAS E SEGUNDO OFICIO DE PROTESTO,1961-01-17,Nula,1961-01-17,SC,DEMAIS,Cartórios
03756495,03756495000171,E. DE ALBUQUERQUE PEREIRA,2000-04-13,Nula,2000-04-13,MA,DEMAIS,Comércio varejista de outros produtos não especificados anteriormente
03757129,03757129000137,HELIO CHAGAS DAS NEVES,2000-04-18,Nula,2000-04-18,ES,DEMAIS,Serviços combinados de escritório e apoio administrativo
03757582,03757582000143,MAG JUNIOR - EDITORA E MARKETING LTDA,1987-06-29,Nula,1987-06-29,PR,DEMAIS,Comércio varejista de jornais e revistas
03759627,03759627000119,TECHNOL ELETROMEDICINA E REPRESENTACOES LTDA,2000-04-14,Nula,2000-04-14,CE,DEMAIS,Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente
03759833,03759833000129,ANTONIO CARLOS DE VASCONCELOS NETO MATERIAL DE CONSTRUCAO,2000-04-13,Nula,2000-04-13,CE,DEMAIS,Comércio varejista de materiais de construção não especificados anteriormente
03760988,03760988000185,"POUSADA BARRA DO RIO COM. ,HOTELARIA E TURISMO LTDA",1998-02-17,Nula,1998-02-17,RN,DEMAIS,Apart-hotéis
03761014,03761014000116,"V. T. P. COMERCIO, ADMINISTRACAO E IMOBILIARIA LTDA",1998-02-17,Nula,1998-02-17,RN,DEMAIS,Incorporação de empreendimentos imobiliários
03763394,03763394000128,INCORPORADORA METROPOLITANA LTDA,2000-03-24,Nula,2000-03-24,RJ,DEMAIS,Incorporação de empreendimentos imobiliários
03764650,03764650000100,TRACO - SERVICOS GRAFICOS LTDA,2000-04-17,Nula,2000-04-17,CE,DEMAIS,Serviços de pré-impressão
03764915,03764915000161,GOUVEA FRANCO ADVOGADOS S/C,1998-03-18,Nula,1998-03-18,SP,DEMAIS,Serviços advocatícios
03765716,03765716000178,MARIA DE FATIMA FLEURY BRASIL,1982-01-31,Nula,1982-01-31,GO,DEMAIS,"Cabeleireiros, manicure e pedicure"
03768126,03768126000107,FIRMA INDIVIDUAL,2000-04-10,Nula,2000-04-10,RJ,DEMAIS,Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente
03768993,03768993000134,FUNDACAO SAO JUDAS TADEU,2000-04-25,Nula,2000-04-25,MA,DEMAIS,Atividades de sonorização e de iluminação
03769068,03769068000128,ADMINISTRADORA DE JOGOS ABL LTDA,2000-04-12,Nula,2000-04-12,RS,DEMAIS,Casas de bingo
03770894,03770894000197,F. J. RODRIGUES,2000-04-26,Nula,2000-04-26,PE,DEMAIS,Comércio varejista de materiais de construção não especificados anteriormente
03771293,03771293000107,TOCANTINS INTALACOES ELETRICAS E INDUSTRIAIS LTDA,2000-04-24,Nula,2000-04-24,BA,MICRO EMPRESA,Instalação e manutenção elétrica
03773299,03773299000105,CAMARA MUNICIPAL DE SANTA FE DE MINAS,2000-03-01,Nula,2000-03-01,MG,DEMAIS,Administração pública em geral
03774509,03774509000180,MACHADO DE SOUZA - ADVOGADOS ASSOCIADOS S.C.,2000-01-16,Nula,2000-01-16,RJ,DEMAIS,Serviços advocatícios
03776022,03776022000136,CENTRAL DE SERVICOS DE ALCOLICOS ANONIMOS DA PARAIBA,1997-11-04,Nula,1997-11-04,PB,DEMAIS,Atividades de associações de defesa de direitos sociais
03777897,03777897000152,ASSOCIACAO DE PAIS E MESTRES DA ESCOLA ESTADUAL UNIDADE POLO,2000-04-26,Nula,2000-04-26,PR,DEMAIS,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente
03777953,03777953000159,O. R. MUNIZ,2000-04-18,Nula,2000-04-18,PI,DEMAIS,Comércio varejista de artigos médicos e ortopédicos
03778325,03778325000198,METAL FOR METARGICA E MECANICA LTDA,2000-04-25,Nula,2000-04-25,SC,DEMAIS,"Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves"
03779692,03779692000106,J & J VIANA LTDA,2000-04-14,Nula,2000-04-14,AP,DEMAIS,Armazéns gerais - emissão de warrant
03780665,03780665000153,JOSE FERNANDES MOTTA TRANSPORTE,1987-07-24,Nula,1987-07-24,GO,DEMAIS,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana"
03781648,03781648000130,CONDOMINIO DO EDIFICIO ALBATROZ,1987-07-31,Nula,1987-07-31,GO,DEMAIS,Atividades de associações de defesa de direitos sociais
03783829,03783829000104,PP-PARTIDO PROGRESSISTA (DIRETORIO MUNICIPAL),1999-07-25,Nula,1999-07-25,BA,DEMAIS,Atividades de organizações políticas
03783916,03783916000153,CONSORCIO BBA -MM,2000-01-01,Nula,2000-01-01,SP,DEMAIS,Incorporação de empreendimentos imobiliários
03784553,03784553000170,LL INFORMTICA LTDA,2000-04-28,Nula,2000-04-28,PR,DEMAIS,Comércio varejista especializado de equipamentos e suprimentos de informática
03784817,03784817000196,MECANOTECNICA GEMAN LTDA,1971-02-26,Nula,1971-02-26,MG,DEMAIS,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente
03784993,03784993000128,FABIO DE ASSUMPCAO TRANSPORTES,2000-05-02,Nula,2000-05-02,SP,DEMAIS,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana"
03786137,03786137000101,COMPUTER CLINIC INFORMATICA LTDA,1995-09-27,Nula,1995-09-27,RJ,DEMAIS,Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente
03786778,03786778000166,ASSOCIACAO DE PAIS E MESTRES DA EMEI FLAVIO IMPERIO,1999-04-29,Nula,1999-04-29,SP,DEMAIS,Atividades de associações de defesa de direitos sociais
03787330,03787330000167,ELIETE BARBOSA DE MORAES,1977-04-11,Nula,1977-04-11,MT,DEMAIS,"Lanchonetes, casas de chá, de sucos e similares"
03788897,03788897000158,RAIMUNDO DE O. CARVALHO,2000-05-05,Nula,2000-05-05,MA,DEMAIS,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas
03789412,03789412000140,DELTA COMERCIO E DISTRIBUICAO E REPRESENTCOES LTDA,2000-04-26,Nula,2000-04-26,PI,DEMAIS,Comércio atacadista de produtos alimentícios em geral
03789492,03789492000134,DISTRIBUIDORA DE CARNES E FRIOS LIMITADA,1977-06-03,Nula,1977-06-03,MT,DEMAIS,Comércio varejista de artigos de óptica
03789844,03789844000151,IGREJA DA MISSAO EVANGELICA PENTECOSTAL BRASILEIRA,2000-02-16,Nula,2000-02-16,MG,DEMAIS,Atividades de organizações religiosas ou filosóficas
03789922,03789922000118,ONEZIO GABI DE OLIVEIRA,1977-06-15,Nula,1977-06-15,MT,DEMAIS,"Lanchonetes, casas de chá, de sucos e similares"
03790371,03790371000102,DORIZETE BUENO SOUZA,2000-04-27,Nula,2000-04-27,RS,DEMAIS,Comércio varejista de carnes - açougues
03790518,03790518000164,CLUBE DE MAES DO VALE DOS LAGOS,2000-04-27,Nula,2000-04-27,BA,DEMAIS,Atividades de associações de defesa de direitos sociais
03790633,03790633000139,BRASIL METAIS COMERCIO IMPORTACAO E EXPORTCAO LTDA,1998-09-29,Nula,1998-09-29,BA,DEMAIS,Comércio atacadista de resíduos e sucatas metálicos
03791243,03791243000183,CENTRAIS ELETRICAS SALTO DOS DARDANELOS LTDA,2000-04-17,Nula,2000-04-17,MT,DEMAIS,Transmissão de energia elétrica
03792460,03792460000198,ASSOCIAO DOS PEQUENOS PRODUTORES E TRABALHADORES RURAIS DA ZONA DO ORICO,1999-12-02,Nula,1999-12-02,BA,DEMAIS,Atividades de associações de defesa de direitos sociais
03794538,03794538000103,JUCARRO COMERCIO DE ALIMENTOS LTDA,2000-05-03,Nula,2000-05-03,BA,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03794819,03794819000166,J. F. DA SILVA MAGAZINE,2000-02-16,Nula,2000-02-16,MT,DEMAIS,Comércio varejista de artigos do vestuário e acessórios
03794846,03794846000139,SIRI CONSULTORIA E COBRANCA LTDA,1999-11-24,Nula,1999-11-24,SC,DEMAIS,Atividades de cobrança e informações cadastrais
03795625,03795625000185,AGNALDO CANDIDO DE SOUZA,2000-03-31,Nula,2000-03-31,MG,DEMAIS,Comércio varejista de jornais e revistas
03796812,03796812000183,ASSOCIACAO DE PAIS E MESTRES DA ESCOLA ESTADUAL DE CACHOEIRA,2000-04-19,Nula,2000-04-19,PR,DEMAIS,Ensino fundamental
03797621,03797621000136,CLINICA DERMATOLOGICA DR JOSE GOMES DA SILVA LTDA,2000-05-04,Nula,2000-05-04,PI,DEMAIS,Atividade médica ambulatorial restrita a consultas
03799252,03799252000110,PARTIDO DA FRENTE LIBERAL - DIRETORIO MUN. DE FRANCISCO MORATO,2000-04-13,Nula,2000-04-13,SP,DEMAIS,Atividades de organizações políticas
03803011,03803011000106,GILCILON TOMAZ GOMES,2000-04-05,Nula,2000-04-05,PI,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados"
03804669,03804669000124,MERCANTIL MASTER LTDA,2000-04-28,Nula,2000-04-28,RO,DEMAIS,Comércio atacadista de produtos alimentícios em geral
03806899,03806899000122,"ASSCCOB - ASSESSORIA, CONSUTORIA, COBRANCA, SERVICOS E INFORMACOES LTDA",2000-05-10,Nula,2000-05-10,BA,DEMAIS,Atividades de cobrança e informações cadastrais
03807180,03807180000106,FERCAN DISTRIBUIDORA DE FERRO & ACO LTDA,2000-04-28,Nula,2000-04-28,MG,DEMAIS,"Comércio atacadista de tintas, vernizes e similares"
03807687,03807687000160,M. MONTEIRO EDITORA,2000-04-27,Nula,2000-04-27,SP,DEMAIS,"Edição integrada à impressão de cadastros, listas e outros produtos gráficos"
03809805,03809805000179,SERRARIA FLORESTAL LTDA,1999-06-23,Nula,1999-06-23,MT,DEMAIS,Serrarias com desdobramento de madeira em bruto
03811207,03811207000134,F.F. INFORMATICA E CELULAR E SERVICO LTDA,2000-05-10,Nula,2000-05-10,PB,DEMAIS,Comércio varejista especializado de equipamentos e suprimentos de informática
03811366,03811366000139,PARTIDO DEMOCRATICO TRABALHISTA - PDT,2000-04-24,Nula,2000-04-24,MG,DEMAIS,Atividades de organizações políticas
03811758,03811758000106,KRONHARDT COMERCIO E REPRESENTACOES LTDA,2000-05-09,Nula,2000-05-09,RS,DEMAIS,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente
03812766,03812766000169,SELMA ARAUJO DOS SANTOS,2000-05-09,Nula,2000-05-09,MG,DEMAIS,Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico
03812879,03812879000164,BERTO DO NASCIMENTO,2000-05-11,Nula,2000-05-11,MG,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03813548,03813548000149,JRB COMERCIO E SERVICOS DE DIGITACAO LTDA,1993-03-22,Nula,1993-03-22,SP,DEMAIS,Comércio varejista especializado de equipamentos e suprimentos de informática
03814583,03814583000182,SOCIEDADE AMIGOS 31 DE MARCO,1998-04-07,Nula,1998-04-07,SP,DEMAIS,Atividades de associações de defesa de direitos sociais
03815387,03815387000122,METALVEX - IMPORTACAO E EXPORTACAO LTDA,2000-05-09,Nula,2000-05-09,RS,DEMAIS,Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente
03816300,03816300000131,CONSELHO ESC. DA ESCOLA CENTRO EDUC. MUNICIPALIZADO MARIETA ALBUQUERQUE,2000-05-11,Nula,2000-05-11,MA,DEMAIS,Atividades de associações de defesa de direitos sociais
03816304,03816304000110,R G DA SILVA CONSTUCOES,2000-05-05,Nula,2000-05-05,PE,DEMAIS,Construção de edifícios
03817058,03817058000110,POLONOVE COMERCIO E REPRESENTCOES LTDA,2000-05-11,Nula,2000-05-11,BA,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03817189,03817189000106,CONDOMINIO DO EDIFICIO HERMONT,2000-03-31,Nula,2000-03-31,RJ,DEMAIS,Condomínios prediais
03817739,03817739000189,SINDESF-RM SINDICATO DOS ESTABELECIMENTOS DE SERVICOS FUNERARIOS DA REGIAO METROPOLITANA DE GOIANIA.,2000-05-17,Nula,2000-05-17,GO,DEMAIS,Atividades de organizações sindicais
03818847,03818847000176,MARLON INDUSTRIA E COMERCIO LTDA,2000-05-15,Nula,2000-05-15,MG,DEMAIS,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas"
03819867,03819867000161,INDUSTRIAS ASSOCIADAS PARA LTDA,2000-05-18,Nula,2000-05-18,PA,EMPRESA DE PEQUENO PORTE,Fabricação de vinagres
03821161,03821161000134,NEIR DO CARMO PEREIRA LIMA,2000-05-19,Nula,2000-05-19,MG,DEMAIS,Comércio varejista de jornais e revistas
03822007,03822007000187,MADEIRIERA POMPEIA LTDA,2000-05-11,Nula,2000-05-11,PA,DEMAIS,Serrarias com desdobramento de madeira em bruto
